호선,구분,역명,역번,05:30~,06:00~,06:30~,07:00~,07:30~,08:00~,08:30~,09:00~,09:30~,10:00~,10:30~,11:00~,11:30~,12:00~,12:30~,13:00~,13:30~,14:00~,14:30~,15:00~,15:30~,16:00~,16:30~,17:00~,17:30~,18:00~,18:30~,19:00~,19:30~,20:00~,20:30~,21:00~,21:30~,22:00~,22:30~,23:00~,23:30~,24:00~,24:30~
1,상선,서울역,150,9,15,25,29,56,68,88,54,58,37,31,48,37,40,38,39,38,32,33,33,27,29,32,33,29,42,49,37,26,19,18,22,21,21,18,13,10,5,0
1,상선,시청,151,8,13,21,25,41,52,65,49,48,36,27,42,38,38,37,38,37,34,33,34,29,30,34,36,32,51,55,46,29,22,22,25,28,26,22,16,12,9,2
1,상선,종각,152,6,10,16,18,26,34,40,35,38,32,25,39,34,37,35,36,38,35,35,38,33,33,36,41,37,66,68,54,34,30,29,36,40,41,33,23,16,11,2
1,상선,종로3가,153,6,9,16,18,28,38,46,37,35,33,28,35,37,40,40,40,42,39,40,42,40,37,43,47,44,68,76,63,39,34,32,39,45,46,40,25,18,13,2
1,상선,종로5가,154,6,8,13,15,22,29,33,27,30,28,24,31,32,34,37,36,38,37,39,41,40,36,44,49,46,74,80,66,42,36,33,43,43,54,39,26,19,13,2
1,상선,동대문,155,9,8,13,13,20,27,30,25,27,26,23,28,32,32,37,36,38,38,39,41,41,37,46,53,48,69,82,66,43,36,33,40,44,54,41,30,19,16,2
1,상선,신설동,156,8,9,9,11,13,20,22,19,28,24,22,27,31,26,34,31,32,34,35,35,37,33,40,48,61,55,77,59,41,31,33,34,51,51,43,26,18,12,0
1,상선,제기동,157,8,9,9,10,12,17,19,16,23,20,17,21,24,20,26,25,25,28,29,31,34,31,39,47,59,56,76,59,41,30,32,33,48,48,41,25,17,10,12
1,상선,청량리,158,7,7,7,8,10,13,16,14,13,20,13,16,21,16,21,21,17,28,20,32,26,32,29,50,45,45,74,51,39,26,29,24,47,34,33,31,14,8,4
1,상선,동묘앞,159,8,10,10,12,16,25,28,22,22,25,22,25,29,30,34,32,35,34,36,38,38,35,44,41,49,64,77,61,42,31,31,37,40,50,38,28,18,13,1
1,하선,서울역,150,10,15,15,21,32,42,31,25,19,20,24,22,27,31,33,35,36,37,39,45,47,50,56,64,70,105,86,54,50,46,33,42,50,50,49,34,25,9,1
1,하선,시청,151,8,12,14,19,33,37,33,24,19,18,23,21,25,30,29,35,33,39,37,44,43,48,56,57,62,94,80,55,44,39,30,38,47,43,42,31,18,6,2
1,하선,종각,152,9,13,15,23,38,49,50,29,23,19,25,21,27,30,30,34,34,37,37,40,42,44,52,52,54,74,64,47,31,31,24,30,37,38,34,28,17,6,2
1,하선,종로3가,153,12,13,19,28,51,77,69,39,32,24,30,24,30,32,32,34,35,36,36,38,40,42,48,48,49,62,46,37,26,24,18,21,24,26,24,16,12,4,1
1,하선,종로5가,154,14,19,19,34,56,84,79,37,40,33,34,30,34,39,38,38,40,41,39,44,43,43,52,47,56,64,43,34,24,23,17,21,21,24,24,16,14,4,1
1,하선,동대문,155,14,20,20,37,63,83,101,40,44,35,35,31,35,38,37,36,38,38,35,40,38,38,46,41,48,50,35,27,20,18,13,18,17,19,19,13,10,2,1
1,하선,신설동,156,18,22,25,41,66,79,85,43,39,36,31,32,31,37,33,36,35,35,31,40,32,36,39,57,35,45,29,23,17,15,12,17,15,16,15,12,9,2,0
1,하선,제기동,157,17,22,23,40,66,79,82,42,36,36,31,29,28,35,31,33,32,33,30,38,30,34,37,53,31,37,25,19,15,14,11,15,13,16,12,12,9,2,0
1,하선,청량리,158,17,21,22,45,73,71,82,40,37,36,28,29,27,33,26,33,27,29,24,31,23,29,26,43,29,29,20,18,14,12,10,13,14,15,12,10,8,1,0
1,하선,동묘앞,159,13,21,20,42,65,85,91,46,42,39,34,34,34,42,37,36,37,38,34,44,36,39,44,41,47,48,34,26,19,17,13,18,17,16,17,13,9,2,0
2,내선,시청,201,21,24,25,39,65,100,81,50,43,32,39,41,45,41,41,47,45,42,41,45,43,43,53,45,53,60,54,46,30,27,25,36,45,47,43,40,39,14,5
2,내선,을지로입구,202,16,20,19,28,45,75,58,39,34,26,36,36,41,38,39,47,45,43,47,48,47,46,56,51,56,79,71,59,38,36,34,47,56,56,50,47,42,16,7
2,내선,을지로3가,203,16,19,18,26,41,65,47,34,30,24,32,33,35,36,35,42,40,39,42,44,44,44,53,48,56,79,70,62,39,35,34,45,58,52,52,41,56,15,7
